company.href,company.name,url,location,year.founded,fte,type.of.company,category,company.function,sector(s),source.of.revenue,description,short.description,social.impact,financial.info,data.collection,dataset.url,dataset.name
/3-Round-Stones-Inc,"3 Round Stones, Inc.",http://3RoundStones.com,"Washington, DC",2010,4,Private,,Data management and analysis,"Education, Energy, Environmental, Finance, Geospatial data/mapping, Health and Health Care, Scientific Research, Weather","Subscriptions, Data management and analytic services","3 Round Stones produces a leading platform for publishing data on the Web.   3 Round Stones provides commercial support for the Callimachus Data Platform, used by the Fortune 2000 and US Government Agencies publishing & consuming data.  Headquartered in Arlington Virginia, we're seasoned entrepreneurs who are passionate about solving real world problems through open data and open Web standards.","Our commercially supported Open Source platform is used by the Fortune 2000 and US Government Agencies to collect, publish and reuse data, both the public Internet and behind institutional firewalls.","3 Round Stones measures impact on society through our longtime commitment to collaboration on open Web standards.  Open Web standards are the foundation of delivering on the inventor of the World Wide Web's vision for a ""write once, run anywhere"" open Web platform.  Governments, as well as, individuals through international multi-national firms can participate in the most robust information space known to humanity.","3 Round Stones is a profitable, self-funded, woman-owned start-up.  Our team has several successful serial entrepreneurs.  As entrepreneurs, we've benefited from the valuable guidance by seasoned advisers and mentors in the mid-Atlantic region who have guided our team through multiple start-ups, outside funding and an acquisition by a Fortune 100 company in 2005.",questionnaire,http://www2.epa.gov/toxics-release-inventory-tri-program/tri-data-and-tools,US Environmental Protection Agency (EPA) Toxics Release Inventory (TRI) Programs
/3-Round-Stones-Inc,"3 Round Stones, Inc.",http://3RoundStones.com,"Washington, DC",2010,4,Private,,Data management and analysis,"Education, Energy, Environmental, Finance, Geospatial data/mapping, Health and Health Care, Scientific Research, Weather","Subscriptions, Data management and analytic services","3 Round Stones produces a leading platform for publishing data on the Web.   3 Round Stones provides commercial support for the Callimachus Data Platform, used by the Fortune 2000 and US Government Agencies publishing & consuming data.  Headquartered in Arlington Virginia, we're seasoned entrepreneurs who are passionate about solving real world problems through open data and open Web standards.","Our commercially supported Open Source platform is used by the Fortune 2000 and US Government Agencies to collect, publish and reuse data, both the public Internet and behind institutional firewalls.","3 Round Stones measures impact on society through our longtime commitment to collaboration on open Web standards.  Open Web standards are the foundation of delivering on the inventor of the World Wide Web's vision for a ""write once, run anywhere"" open Web platform.  Governments, as well as, individuals through international multi-national firms can participate in the most robust information space known to humanity.","3 Round Stones is a profitable, self-funded, woman-owned start-up.  Our team has several successful serial entrepreneurs.  As entrepreneurs, we've benefited from the valuable guidance by seasoned advisers and mentors in the mid-Atlantic region who have guided our team through multiple start-ups, outside funding and an acquisition by a Fortune 100 company in 2005.",questionnaire,http://www.epa.gov/enviro/html/fii/index.html,US Environmental Protection Agency (EPA) Facilities Registry Service (FRS)
/Abt-Associates,Abt Associates,http://abtassoc.com,"Cambridge, MA",1965,2500,Private,,"Public policy, research, technical assistance, and program evaluation","Agriculture, Crime, Education, Energy, Environmental, Geospatial data/mapping, Health and Health Care, Housing/Real Estate, Manufacturing, Nutrition, Scientific Research, Social Assistance, Trade",Data management and analytic services,"Abt Associates is a mission-driven, global leader in research and program implementation in the fields of health, social and environmental policy, and international development. Known for its rigorous approach to solving complex challenges, Abt Associates is regularly ranked as one of the top 20 global research firms and one of the top 40 international development innovators.  The company has multiple offices in the U.S. and program offices in more than 40 countries.","Abt Associates is a mission-driven, global leader in research and program implementation in the fields of health, social and environmental policy, and international development.",Abt Associates has project-specific minotoring and evaluations. Environmental sustainibility metrics associated with project and corporate operations.,Employee-owned company. $552M/year,questionnaire,http://www.census.gov/,US Census Bureau
/Abt-Associates,Abt Associates,http://abtassoc.com,"Cambridge, MA",1965,2500,Private,,"Public policy, research, technical assistance, and program evaluation","Agriculture, Crime, Education, Energy, Environmental, Geospatial data/mapping, Health and Health Care, Housing/Real Estate, Manufacturing, Nutrition, Scientific Research, Social Assistance, Trade",Data management and analytic services,"Abt Associates is a mission-driven, global leader in research and program implementation in the fields of health, social and environmental policy, and international development. Known for its rigorous approach to solving complex challenges, Abt Associates is regularly ranked as one of the top 20 global research firms and one of the top 40 international development innovators.  The company has multiple offices in the U.S. and program offices in more than 40 countries.","Abt Associates is a mission-driven, global leader in research and program implementation in the fields of health, social and environmental policy, and international development.",Abt Associates has project-specific minotoring and evaluations. Environmental sustainibility metrics associated with project and corporate operations.,Employee-owned company. $552M/year,questionnaire,http://www.epa.gov/IRIS/,US Environmental Protection Agency (EPA) Integrated Risk Information System (IRIS)
/Abt-Associates,Abt Associates,http://abtassoc.com,"Cambridge, MA",1965,2500,Private,,"Public policy, research, technical assistance, and program evaluation","Agriculture, Crime, Education, Energy, Environmental, Geospatial data/mapping, Health and Health Care, Housing/Real Estate, Manufacturing, Nutrition, Scientific Research, Social Assistance, Trade",Data management and analytic services,"Abt Associates is a mission-driven, global leader in research and program implementation in the fields of health, social and environmental policy, and international development. Known for its rigorous approach to solving complex challenges, Abt Associates is regularly ranked as one of the top 20 global research firms and one of the top 40 international development innovators.  The company has multiple offices in the U.S. and program offices in more than 40 countries.","Abt Associates is a mission-driven, global leader in research and program implementation in the fields of health, social and environmental policy, and international development.",Abt Associates has project-specific minotoring and evaluations. Environmental sustainibility metrics associated with project and corporate operations.,Employee-owned company. $552M/year,questionnaire,http://www.epa-echo.gov/echo/,US Environmental Protection Agency (EPA) Enforcement and Compliance History Online (ECHO)
/Abt-Associates,Abt Associates,http://abtassoc.com,"Cambridge, MA",1965,2500,Private,,"Public policy, research, technical assistance, and program evaluation","Agriculture, Crime, Education, Energy, Environmental, Geospatial data/mapping, Health and Health Care, Housing/Real Estate, Manufacturing, Nutrition, Scientific Research, Social Assistance, Trade",Data management and analytic services,"Abt Associates is a mission-driven, global leader in research and program implementation in the fields of health, social and environmental policy, and international development. Known for its rigorous approach to solving complex challenges, Abt Associates is regularly ranked as one of the top 20 global research firms and one of the top 40 international development innovators.  The company has multiple offices in the U.S. and program offices in more than 40 countries.","Abt Associates is a mission-driven, global leader in research and program implementation in the fields of health, social and environmental policy, and international development.",Abt Associates has project-specific minotoring and evaluations. Environmental sustainibility metrics associated with project and corporate operations.,Employee-owned company. $552M/year,questionnaire,http://www.medicare.gov/nursinghomecompare/search.html,Medicare Nursing Home Compare
/Abt-Associates,Abt Associates,http://abtassoc.com,"Cambridge, MA",1965,2500,Private,,"Public policy, research, technical assistance, and program evaluation","Agriculture, Crime, Education, Energy, Environmental, Geospatial data/mapping, Health and Health Care, Housing/Real Estate, Manufacturing, Nutrition, Scientific Research, Social Assistance, Trade",Data management and analytic services,"Abt Associates is a mission-driven, global leader in research and program implementation in the fields of health, social and environmental policy, and international development. Known for its rigorous approach to solving complex challenges, Abt Associates is regularly ranked as one of the top 20 global research firms and one of the top 40 international development innovators.  The company has multiple offices in the U.S. and program offices in more than 40 countries.","Abt Associates is a mission-driven, global leader in research and program implementation in the fields of health, social and environmental policy, and international development.",Abt Associates has project-specific minotoring and evaluations. Environmental sustainibility metrics associated with project and corporate operations.,Employee-owned company. $552M/year,questionnaire,https://hazmatonline.phmsa.dot.gov/IncidentReportsSearch/search.aspx,US Department of Transportation Pipeline and Hazardous Materials Safety Administration (PHMSA) Office of Hazardous Materials Dietary Supplement Labeling Database
/Abt-Associates,Abt Associates,http://abtassoc.com,"Cambridge, MA",1965,2500,Private,,"Public policy, research, technical assistance, and program evaluation","Agriculture, Crime, Education, Energy, Environmental, Geospatial data/mapping, Health and Health Care, Housing/Real Estate, Manufacturing, Nutrition, Scientific Research, Social Assistance, Trade",Data management and analytic services,"Abt Associates is a mission-driven, global leader in research and program implementation in the fields of health, social and environmental policy, and international development. Known for its rigorous approach to solving complex challenges, Abt Associates is regularly ranked as one of the top 20 global research firms and one of the top 40 international development innovators.  The company has multiple offices in the U.S. and program offices in more than 40 countries.","Abt Associates is a mission-driven, global leader in research and program implementation in the fields of health, social and environmental policy, and international development.",Abt Associates has project-specific minotoring and evaluations. Environmental sustainibility metrics associated with project and corporate operations.,Employee-owned company. $552M/year,questionnaire,http://ogesdw.dol.gov/views/data_catalogs.php,US Department of Labor Employee Benefits Security Administration (EBSA) Enforcement Data
/Apextech-Llc,Apextech LLC,http://apextechllc.com,"Arlington, VA",2003,17,Private,,Data management and analysis,"Other, Defense, International Development",Data management and analytic services,"Apextech LLC's mission is to provide clients with effective tools and methods to measure their performance. As your provider of choice, Apextech addresses, analyzes, and evaluates current business processes and systems in order to effectively modify or augment our client’s capabilities. Our solutions are forward thinking, flexible and scalable.","Apextech LLC, a commercial and government consulting firm is ready to offer clients and partners unique and innovative solutions to heighten business performance.",Our ability to create jobs and retain employees.  The ability of our clients to understand how they are performing so that they can continue to achieve their mission - international development.,"We have developed solutions in the international development space for NGOs and are working towards integrating those systems with governmental development data from USAID, the World Bank, the EU and the CIDA (Canadian International Development Agency).",questionnaire,,US Agency for International Development (USAID) Grants Financial Data Maintained by NGOs
/Apextech-Llc,Apextech LLC,http://apextechllc.com,"Arlington, VA",2003,17,Private,,Data management and analysis,"Other, Defense, International Development",Data management and analytic services,"Apextech LLC's mission is to provide clients with effective tools and methods to measure their performance. As your provider of choice, Apextech addresses, analyzes, and evaluates current business processes and systems in order to effectively modify or augment our client’s capabilities. Our solutions are forward thinking, flexible and scalable.","Apextech LLC, a commercial and government consulting firm is ready to offer clients and partners unique and innovative solutions to heighten business performance.",Our ability to create jobs and retain employees.  The ability of our clients to understand how they are performing so that they can continue to achieve their mission - international development.,"We have developed solutions in the international development space for NGOs and are working towards integrating those systems with governmental development data from USAID, the World Bank, the EU and the CIDA (Canadian International Development Agency).",questionnaire,,US Department of Defense Accounting and Budgeting Data
